id	timeline_id	date	cmd	tlmsid	msid	scs
253	1	2010:276:09:58:11.417	COMMAND_SW	AONMMODE	AONMMODE	128
254	1	2010:276:09:58:11.674	COMMAND_SW	AONM2NPE	AONM2NPE	128
255	1	2010:276:09:58:15.774	MP_TARGQUAT	AOUPTARQ	None	128
256	1	2010:276:09:58:21.668	COMMAND_SW	AOMANUVR	AOMANUVR	128
285	2	2010:276:10:01:11.417	MP_OBSID	COAOSQID	None	131
286	2	2010:276:10:27:38.153	ACISPKT	AA00000000	None	131
287	2	2010:276:10:27:42.153	ACISPKT	AA00000000	None	131
288	2	2010:276:10:27:46.153	ACISPKT	WSPOW00000	None	131
289	2	2010:276:10:28:10.153	ACISPKT	WSPOW1CC3E	None	131
290	2	2010:276:10:29:13.153	ACISPKT	WT0074C014	None	131
291	2	2010:276:10:29:17.153	ACISPKT	XTZ0000005	None	131
292	2	2010:276:10:29:21.153	ACISPKT	RS_0000001	None	131
293	2	2010:276:10:29:25.153	ACISPKT	RH_0000001	None	131
257	1	2010:276:23:48:24.153	COMMAND_SW	AONMMODE	AONMMODE	128
294	2	2010:276:23:48:24.153	ACISPKT	AA00000000	None	131
258	1	2010:276:23:48:24.410	COMMAND_SW	AONM2NPE	AONM2NPE	128
259	1	2010:276:23:48:28.510	MP_TARGQUAT	AOUPTARQ	None	128
260	1	2010:276:23:48:34.404	COMMAND_SW	AOMANUVR	AOMANUVR	128
295	2	2010:276:23:51:24.153	MP_OBSID	COAOSQID	None	131
296	2	2010:277:00:07:42.940	ACISPKT	AA00000000	None	131
297	2	2010:277:00:07:46.940	ACISPKT	AA00000000	None	131
298	2	2010:277:00:07:50.940	ACISPKT	WSPOW00000	None	131
299	2	2010:277:00:08:14.940	ACISPKT	WSPOW0C006	None	131
300	2	2010:277:00:09:17.940	ACISPKT	WT0057A024	None	131
301	2	2010:277:00:09:21.940	ACISPKT	XTZ0000005	None	131
302	2	2010:277:00:09:25.940	ACISPKT	RS_0000001	None	131
303	2	2010:277:00:09:29.940	ACISPKT	RH_0000001	None	131
261	1	2010:277:03:11:58.940	COMMAND_SW	AONMMODE	AONMMODE	128
304	2	2010:277:03:11:58.940	ACISPKT	AA00000000	None	131
262	1	2010:277:03:11:59.197	COMMAND_SW	AONM2NPE	AONM2NPE	128
263	1	2010:277:03:12:03.297	MP_TARGQUAT	AOUPTARQ	None	128
264	1	2010:277:03:12:09.191	COMMAND_SW	AOMANUVR	AOMANUVR	128
